sline,eline,sstop,estop,count,slon,slat,elon,elat
1号线,2号线,莘庄,南京东路,15,121.38111623835272,31.112981979578,121.47924428412828,31.23911535220653
2号线,2号线,上海科技馆,南京东路,22,121.54058926688705,31.22069337516232,121.47924428412828,31.23911535220653
2号线,2号线,世纪公园,南京东路,17,121.5466810635746,31.21147339791956,121.47924428412828,31.23911535220653
2号线,10号线,东昌路,南京东路,17,121.51103796264,31.23538865645536,121.47924428412828,31.23911535220653
2号线,2号线,东昌路,南京东路,58,121.51103796264,31.23538865645536,121.47924428412828,31.23911535220653
2号线,10号线,中山公园,南京东路,16,121.41373564273864,31.22041076094213,121.47924428412828,31.23911535220653
2号线,2号线,中山公园,南京东路,37,121.41373564273864,31.22041076094213,121.47924428412828,31.23911535220653
2号线,2号线,北新泾,南京东路,13,121.36940501710458,31.218305848849862,121.47924428412828,31.23911535220653
2号线,2号线,南京西路,南京东路,28,121.45550746198595,31.23176643260941,121.47924428412828,31.23911535220653
2号线,2号线,唐镇,南京东路,11,121.6519603736814,31.21643919587955,121.47924428412828,31.23911535220653
2号线,2号线,威宁路,南京东路,15,121.38242696981457,31.216666701571704,121.47924428412828,31.23911535220653
2号线,10号线,娄山关路,南京东路,13,121.39963073146214,31.21290652542745,121.47924428412828,31.23911535220653
2号线,2号线,娄山关路,南京东路,32,121.39963073146214,31.21290652542745,121.47924428412828,31.23911535220653
2号线,2号线,川沙,南京东路,11,121.69373207022477,31.188757992937546,121.47924428412828,31.23911535220653
2号线,2号线,广兰路,南京东路,32,121.61697087791599,31.21308703855244,121.47924428412828,31.23911535220653
2号线,2号线,张江高科,南京东路,27,121.58349951749912,31.20395598048356,121.47924428412828,31.23911535220653
2号线,10号线,徐泾东,南京东路,12,121.29487927379664,31.19026886327993,121.47924428412828,31.23911535220653
2号线,2号线,徐泾东,南京东路,27,121.29487927379664,31.19026886327993,121.47924428412828,31.23911535220653
2号线,10号线,淞虹路,南京东路,13,121.35484187218569,31.220001080800422,121.47924428412828,31.23911535220653
2号线,2号线,淞虹路,南京东路,34,121.35484187218569,31.220001080800422,121.47924428412828,31.23911535220653
2号线,2号线,虹桥火车站,南京东路,13,121.31698004097382,31.19592455947813,121.47924428412828,31.23911535220653
2号线,2号线,金科路,南京东路,23,121.5977989899922,31.20636119514668,121.47924428412828,31.23911535220653
2号线,10号线,陆家嘴,南京东路,28,121.49794977948895,31.240191163422505,121.47924428412828,31.23911535220653
2号线,2号线,陆家嘴,南京东路,104,121.49794977948895,31.240191163422505,121.47924428412828,31.23911535220653
2号线,10号线,静安寺,南京东路,12,121.44167858157878,31.22508411208896,121.47924428412828,31.23911535220653
2号线,2号线,静安寺,南京东路,46,121.44167858157878,31.22508411208896,121.47924428412828,31.23911535220653
4号线,10号线,世纪大道,南京东路,17,121.52256449772648,31.23100111534736,121.47924428412828,31.23911535220653
4号线,2号线,世纪大道,南京东路,53,121.52256449772648,31.23100111534736,121.47924428412828,31.23911535220653
6号线,2号线,博兴路,南京东路,14,121.58272341978686,31.26618518803448,121.47924428412828,31.23911535220653
6号线,2号线,金桥路,南京东路,13,121.57766037391436,31.25930919744349,121.47924428412828,31.23911535220653
7号线,2号线,大华三路,南京东路,13,121.41841607530264,31.275786131415416,121.47924428412828,31.23911535220653
7号线,2号线,行知路,南京东路,11,121.41698551371452,31.28684203279706,121.47924428412828,31.23911535220653
8号线,10号线,沈杜公路,南京东路,11,121.5079991406917,31.0635111631312,121.47924428412828,31.23911535220653
8号线,10号线,老西门,南京东路,13,121.47931185443552,31.221073985044608,121.47924428412828,31.23911535220653
8号线,10号线,陆家浜路,南京东路,11,121.48159054626528,31.21366080123929,121.47924428412828,31.23911535220653
9号线,2号线,杨高中路,南京东路,16,121.54443334151014,31.22966527628743,121.47924428412828,31.23911535220653
10号线,10号线,五角场,同济大学,23,121.5102569388246,31.30010468797861,121.50206747269928,31.284577528844896
10号线,10号线,南京东路,同济大学,14,121.47924428412828,31.23911535220653,121.50206747269928,31.284577528844896
10号线,10号线,江湾体育场,同济大学,28,121.50969205437626,31.30504889283296,121.50206747269928,31.284577528844896
10号线,10号线,陕西南路,同济大学,25,121.45564009860006,31.21922548450731,121.50206747269928,31.284577528844896
2号线,10号线,南京西路,同济大学,11,121.45550746198595,31.23176643260941,121.50206747269928,31.284577528844896
2号线,10号线,虹桥火车站,同济大学,13,121.31698004097382,31.19592455947813,121.50206747269928,31.284577528844896
2号线,10号线,陆家嘴,同济大学,11,121.49794977948895,31.240191163422505,121.50206747269928,31.284577528844896
2号线,10号线,静安寺,同济大学,11,121.44167858157878,31.22508411208896,121.50206747269928,31.284577528844896
10号线,10号线,五角场,四川北路,11,121.5102569388246,31.30010468797861,121.47971268041323,31.253939587029944
2号线,10号线,南京东路,四川北路,11,121.47924428412828,31.23911535220653,121.47971268041323,31.253939587029944
10号线,10号线,同济大学,四川北路,12,121.50206747269928,31.284577528844896,121.47971268041323,31.253939587029944
10号线,10号线,江湾体育场,四川北路,19,121.50969205437626,31.30504889283296,121.47971268041323,31.253939587029944
10号线,10号线,豫园,四川北路,13,121.48283033758119,31.23027093044076,121.47971268041323,31.253939587029944
10号线,10号线,邮电新村,四川北路,16,121.489822152937,31.270522310162953,121.47971268041323,31.253939587029944
10号线,10号线,陕西南路,四川北路,28,121.45564009860006,31.21922548450731,121.47971268041323,31.253939587029944
2号线,10号线,陆家嘴,四川北路,17,121.49794977948895,31.240191163422505,121.47971268041323,31.253939587029944
8号线,10号线,四平路,四川北路,15,121.49700435873925,31.276943044058065,121.47971268041323,31.253939587029944
8号线,10号线,老西门,四川北路,11,121.47931185443552,31.221073985044608,121.47971268041323,31.253939587029944
10号线,10号线,航中路,宋园路,13,121.35034954165577,31.16735491029436,121.40731820626036,31.19832432977877
10号线,10号线,陕西南路,宋园路,21,121.45564009860006,31.21922548450731,121.40731820626036,31.19832432977877
2号线,10号线,徐泾东,宋园路,13,121.29487927379664,31.19026886327993,121.40731820626036,31.19832432977877
2号线,10号线,虹桥火车站,宋园路,15,121.31698004097382,31.19592455947813,121.40731820626036,31.19832432977877
10号线,10号线,交通大学,新天地,16,121.42952631930164,31.20372474691698,121.47075586345952,31.218294750858874
10号线,10号线,伊犁路,新天地,16,121.39940058732157,31.20097434412085,121.47075586345952,31.218294750858874
10号线,10号线,南京东路,新天地,12,121.47924428412828,31.23911535220653,121.47075586345952,31.218294750858874
10号线,10号线,同济大学,新天地,11,121.50206747269928,31.284577528844896,121.47075586345952,31.218294750858874
10号线,10号线,水城路,新天地,13,121.38754188867226,31.201298680700077,121.47075586345952,31.218294750858874
10号线,10号线,江湾体育场,新天地,12,121.50969205437626,31.30504889283296,121.47075586345952,31.218294750858874
10号线,10号线,陕西南路,新天地,16,121.45564009860006,31.21922548450731,121.47075586345952,31.218294750858874
2号线,10号线,虹桥火车站,新天地,14,121.31698004097382,31.19592455947813,121.47075586345952,31.218294750858874
10号线,10号线,南京东路,新江湾城,11,121.47924428412828,31.23911535220653,121.5021751410441,31.330789692342496
10号线,10号线,同济大学,新江湾城,12,121.50206747269928,31.284577528844896,121.5021751410441,31.330789692342496
10号线,10号线,江湾体育场,新江湾城,17,121.50969205437626,31.30504889283296,121.5021751410441,31.330789692342496
10号线,10号线,交通大学,水城路,12,121.42952631930164,31.20372474691698,121.38754188867226,31.201298680700077
10号线,10号线,陕西南路,水城路,31,121.45564009860006,31.21922548450731,121.38754188867226,31.201298680700077
10号线,10号线,龙柏新村,水城路,12,121.36574151569107,31.179499867783807,121.38754188867226,31.201298680700077
2号线,10号线,徐泾东,水城路,11,121.29487927379664,31.19026886327993,121.38754188867226,31.201298680700077
2号线,10号线,虹桥火车站,水城路,21,121.31698004097382,31.19592455947813,121.38754188867226,31.201298680700077
10号线,10号线,陕西南路,海伦路,19,121.45564009860006,31.21922548450731,121.48422026540928,31.26129204310376
3号线,4号线,上海火车站,海伦路,18,121.45134662497871,31.249252480810924,121.48422026540928,31.26129204310376
4号线,10号线,世纪大道,海伦路,11,121.52256449772648,31.23100111534736,121.48422026540928,31.26129204310376
4号线,10号线,大连路,海伦路,11,121.50827043682621,31.260483456954603,121.48422026540928,31.26129204310376
4号线,10号线,浦东大道,海伦路,11,121.51508472389416,31.24205367972808,121.48422026540928,31.26129204310376
10号线,10号线,伊犁路,航中路,18,121.39940058732157,31.20097434412085,121.35034954165577,31.16735491029436
10号线,10号线,陕西南路,航中路,23,121.45564009860006,31.21922548450731,121.35034954165577,31.16735491029436
2号线,10号线,陆家嘴,航中路,11,121.49794977948895,31.240191163422505,121.35034954165577,31.16735491029436
10号线,10号线,上海动物园,虹桥路,12,121.36370573239333,31.192146075730466,121.41767616931179,31.198490043241854
10号线,10号线,南京东路,虹桥路,11,121.47924428412828,31.23911535220653,121.41767616931179,31.198490043241854
10号线,10号线,陕西南路,虹桥路,24,121.45564009860006,31.21922548450731,121.41767616931179,31.198490043241854
3号线,3号线,曹杨路,虹桥路,19,121.41322366591196,31.24117205825925,121.41767616931179,31.198490043241854
13号线,3号线,金运路,虹桥路,13,121.31508840064134,31.24293847486636,121.41767616931179,31.198490043241854
4号线,3号线,上海体育馆,虹桥路,11,121.43182335702305,31.18388290258479,121.41767616931179,31.198490043241854
3号线,3号线,上海南站,虹桥路,26,121.42521918125507,31.15677611560311,121.41767616931179,31.198490043241854
3号线,3号线,上海火车站,虹桥路,27,121.45134662497871,31.249252480810924,121.41767616931179,31.198490043241854
8号线,10号线,人民广场,虹桥路,13,121.47063544949978,31.234938109246567,121.41767616931179,31.198490043241854
1号线,3号线,莘庄,虹桥路,20,121.38111623835272,31.112981979578,121.41767616931179,31.198490043241854
1号线,3号线,莲花路,虹桥路,14,121.39814802332572,31.13275059364296,121.41767616931179,31.198490043241854
3号线,3号线,中山公园,虹桥路,23,121.41373564273864,31.22041076094213,121.41767616931179,31.198490043241854
2号线,10号线,徐泾东,虹桥路,12,121.29487927379664,31.19026886327993,121.41767616931179,31.198490043241854
2号线,10号线,虹桥火车站,虹桥路,26,121.31698004097382,31.19592455947813,121.41767616931179,31.198490043241854
3号线,3号线,中潭路,虹桥路,15,121.43644217058086,31.256424824661842,121.41767616931179,31.198490043241854
3号线,3号线,江湾镇,虹桥路,15,121.48069079075636,31.307520474183196,121.41767616931179,31.198490043241854
3号线,3号线,赤峰路,虹桥路,11,121.47795944040102,31.28313938375795,121.41767616931179,31.198490043241854
3号线,3号线,龙漕路,虹桥路,15,121.43984743816351,31.171358938768957,121.41767616931179,31.198490043241854
4号线,3号线,塘桥,虹桥路,14,121.51443015829828,31.21168966884305,121.41767616931179,31.198490043241854
4号线,3号线,大木桥路,虹桥路,11,121.45908067637887,31.196139893371825,121.41767616931179,31.198490043241854
4号线,3号线,浦电路,虹桥路,11,121.52768533316281,31.225078430415724,121.41767616931179,31.198490043241854
9号线,3号线,九亭,虹桥路,14,121.31500532139783,31.139231292526546,121.41767616931179,31.198490043241854
10号线,10号线,五角场,豫园,15,121.5102569388246,31.30010468797861,121.48283033758119,31.23027093044076
10号线,10号线,天潼路,豫园,20,121.47767315290058,31.24647455877888,121.48283033758119,31.23027093044076
10号线,10号线,江湾体育场,豫园,12,121.50969205437626,31.30504889283296,121.48283033758119,31.23027093044076
10号线,10号线,航中路,豫园,14,121.35034954165577,31.16735491029436,121.48283033758119,31.23027093044076
10号线,10号线,陕西南路,豫园,27,121.45564009860006,31.21922548450731,121.48283033758119,31.23027093044076
2号线,10号线,虹桥火车站,豫园,11,121.31698004097382,31.19592455947813,121.48283033758119,31.23027093044076
2号线,10号线,陆家嘴,豫园,13,121.49794977948895,31.240191163422505,121.48283033758119,31.23027093044076
8号线,10号线,沈杜公路,豫园,18,121.5079991406917,31.0635111631312,121.48283033758119,31.23027093044076
10号线,10号线,南京东路,邮电新村,14,121.47924428412828,31.23911535220653,121.489822152937,31.270522310162953
10号线,10号线,四川北路,邮电新村,14,121.47971268041323,31.253939587029944,121.489822152937,31.270522310162953
10号线,10号线,上海动物园,陕西南路,21,121.36370573239333,31.192146075730466,121.45564009860006,31.21922548450731
10号线,10号线,上海图书馆,陕西南路,12,121.43975165303726,31.209966368989658,121.45564009860006,31.21922548450731
10号线,10号线,五角场,陕西南路,19,121.5102569388246,31.30010468797861,121.45564009860006,31.21922548450731
