本站编码,上次过站编号,车牌号码,slon,slat,elon,elat
112,113,16,124.43832295800007,43.13609680600007,124.6057803000001,43.30978915000003
114,113,2,124.5301573700001,43.23501883700004,124.6057803000001,43.30978915000003
121,113,10,124.83180625300008,43.479668133000075,124.6057803000001,43.30978915000003
122,113,12,125.1095093880001,43.68619200400008,124.6057803000001,43.30978915000003
131,113,44,125.3209912000001,43.7925926,124.6057803000001,43.30978915000003
132,113,15,125.40367465000008,43.832945650000056,124.6057803000001,43.30978915000003
133,113,1,125.45553092300008,43.94948199800007,124.6057803000001,43.30978915000003
312,113,1,125.64987923700005,43.968514371000026,124.6057803000001,43.30978915000003
321,113,2,126.4159946000001,43.8916856000001,124.6057803000001,43.30978915000003
511,113,1,125.30232206200003,43.98087807500008,124.6057803000001,43.30978915000003
513,113,1,125.12127130200008,44.41422188800004,124.6057803000001,43.30978915000003
591,113,2,124.96698765000008,45.42920945000003,124.6057803000001,43.30978915000003
611,113,1,126.11295746700011,45.11385153200007,124.6057803000001,43.30978915000003
621,113,1,125.65881252500003,44.53435361900006,124.6057803000001,43.30978915000003
717,113,6,125.14494475000004,43.86810495000003,124.6057803000001,43.30978915000003
111,114,15,124.4118480410001,43.10218694100007,124.5301573700001,43.23501883700004
112,114,11,124.43832295800007,43.13609680600007,124.5301573700001,43.23501883700004
113,114,2,124.6057803000001,43.30978915000003,124.5301573700001,43.23501883700004
121,114,38,124.83180625300008,43.479668133000075,124.5301573700001,43.23501883700004
122,114,28,125.1095093880001,43.68619200400008,124.5301573700001,43.23501883700004
131,114,139,125.3209912000001,43.7925926,124.5301573700001,43.23501883700004
132,114,30,125.40367465000008,43.832945650000056,124.5301573700001,43.23501883700004
133,114,5,125.45553092300008,43.94948199800007,124.5301573700001,43.23501883700004
134,114,2,125.39053413200008,44.01310719500003,124.5301573700001,43.23501883700004
311,114,3,125.44269073300006,43.88860573300008,124.5301573700001,43.23501883700004
312,114,2,125.64987923700005,43.968514371000026,124.5301573700001,43.23501883700004
31A,114,1,125.53931703500007,43.911484846000064,124.5301573700001,43.23501883700004
321,114,7,126.4159946000001,43.8916856000001,124.5301573700001,43.23501883700004
411,114,3,125.25600753800006,43.98591059000006,124.5301573700001,43.23501883700004
412,114,3,125.17844416900004,43.930943366000065,124.5301573700001,43.23501883700004
513,114,1,125.12127130200008,44.41422188800004,124.5301573700001,43.23501883700004
524,114,1,124.5371307260001,45.27445964200007,124.5301573700001,43.23501883700004
591,114,1,124.96698765000008,45.42920945000003,124.5301573700001,43.23501883700004
594,114,3,124.8500190100001,45.09731913300004,124.5301573700001,43.23501883700004
611,114,1,126.11295746700011,45.11385153200007,124.5301573700001,43.23501883700004
621,114,1,125.65881252500003,44.53435361900006,124.5301573700001,43.23501883700004
717,114,12,125.14494475000004,43.86810495000003,124.5301573700001,43.23501883700004
111,121,185,124.4118480410001,43.10218694100007,124.83180625300008,43.479668133000075
112,121,184,124.43832295800007,43.13609680600007,124.83180625300008,43.479668133000075
113,121,6,124.6057803000001,43.30978915000003,124.83180625300008,43.479668133000075
114,121,32,124.5301573700001,43.23501883700004,124.83180625300008,43.479668133000075
122,121,62,125.1095093880001,43.68619200400008,124.83180625300008,43.479668133000075
131,121,517,125.3209912000001,43.7925926,124.83180625300008,43.479668133000075
132,121,99,125.40367465000008,43.832945650000056,124.83180625300008,43.479668133000075
133,121,10,125.45553092300008,43.94948199800007,124.83180625300008,43.479668133000075
134,121,2,125.39053413200008,44.01310719500003,124.83180625300008,43.479668133000075
221,121,1,125.16938424400007,42.96104771000006,124.83180625300008,43.479668133000075
244,121,1,126.11105144700002,42.70220170600004,124.83180625300008,43.479668133000075
297,121,2,125.86151678500005,41.79211507800005,124.83180625300008,43.479668133000075
311,121,9,125.44269073300006,43.88860573300008,124.83180625300008,43.479668133000075
312,121,19,125.64987923700005,43.968514371000026,124.83180625300008,43.479668133000075
313,121,3,125.8115129,43.9761267000001,124.83180625300008,43.479668133000075
31A,121,4,125.53931703500007,43.911484846000064,124.83180625300008,43.479668133000075
321,121,29,126.4159946000001,43.8916856000001,124.83180625300008,43.479668133000075
37E,121,1,125.28489156400008,42.300966050000056,124.83180625300008,43.479668133000075
411,121,21,125.25600753800006,43.98591059000006,124.83180625300008,43.479668133000075
412,121,8,125.17844416900004,43.930943366000065,124.83180625300008,43.479668133000075
511,121,3,125.30232206200003,43.98087807500008,124.83180625300008,43.479668133000075
513,121,2,125.12127130200008,44.41422188800004,124.83180625300008,43.479668133000075
521,121,1,125.12547930200003,44.65734339800008,124.83180625300008,43.479668133000075
524,121,2,124.5371307260001,45.27445964200007,124.83180625300008,43.479668133000075
591,121,1,124.96698765000008,45.42920945000003,124.83180625300008,43.479668133000075
593,121,1,124.88730995100002,45.170218057000056,124.83180625300008,43.479668133000075
594,121,5,124.8500190100001,45.09731913300004,124.83180625300008,43.479668133000075
611,121,23,126.11295746700011,45.11385153200007,124.83180625300008,43.479668133000075
